name,category,status,flags,serving_label,serving_grams,calories,protein_g,carbs_g,fat_g,fibre_g,sodium_mg,sugar_g,confidence
Congee rice,Rice & noodle dishes,succeeded,,1 bowl (~400g),400,220,8,38,4,1,650,1,medium
Paella rice,Rice & noodle dishes,succeeded,,1 serve (~400g),400,520,24,62,18,3,900,4,medium
Biryani rice,Rice & noodle dishes,succeeded,,1 serve (~350g),350,490,22,62,16,3.5,780,5,medium
Egg fried rice,Rice & noodle dishes,succeeded,,1 serve (~300g),300,480,11.5,68,17,1.8,780,2,medium
Vegetable fried rice,Rice & noodle dishes,succeeded,,1 serve (~350g),350,480,10.5,78,13,4,820,4.5,medium
Special fried rice dish,Rice & noodle dishes,succeeded,,1 serve (~350g),350,560,18,72,21,3,980,4,medium
Char kway teow noodles,Rice & noodle dishes,succeeded,,1 serve (~400g),400,620,22,68,30,3.5,1450,6,medium
Pad thai noodles,Rice & noodle dishes,succeeded,,1 serve (~400g),400,620,25,78,24,4,1450,18,medium
Singapore noodles dish,Rice & noodle dishes,succeeded,,1 serve (~400g),400,520,20,68,17,4,980,8,medium
Hokkien noodles dish,Rice & noodle dishes,succeeded,,1 serve (~450g),450,620,24,78,22,5.5,1450,9,medium
Chow mein noodles,Rice & noodle dishes,succeeded,,1 serve (~350g),350,480,16,62,17,4,980,6,medium
Yaki udon,Rice & noodle dishes,succeeded,,1 serve (~400g),400,520,20,68,18,4.5,1450,8,medium
Dan dan noodles dish,Rice & noodle dishes,succeeded,,1 serve (~400g),400,620,24,65,30,4,1450,6,medium
Beef noodle soup dish,Rice & noodle dishes,succeeded,,1 bowl (~550g),550,480,28,60,14,3.5,1600,5,medium
Rice noodle salad,Rice & noodle dishes,succeeded,,1 serve (~350g),350,380,10.5,55,13,4.5,780,12,medium
Glass noodle salad,Rice & noodle dishes,succeeded,,1 serve (~300g),300,280,9.5,38,10.5,3,780,9,medium
Japchae noodles,Rice & noodle dishes,succeeded,,1 serve (~300g),300,380,8.5,58,13,3.5,780,10,medium
Rice pilaf,Rice & noodle dishes,succeeded,,1 serve (~180g),180,260,5.5,47,6.5,1.8,420,2,medium
Coconut rice,Rice & noodle dishes,succeeded,,1 serve (~200g),200,300,4.8,48,10.5,1.2,220,3,medium
Lemon rice,Rice & noodle dishes,succeeded,,1 serve (~200g),200,310,5.5,48,11,2,420,1.5,medium
Tomato rice,Rice & noodle dishes,succeeded,,1 serve (~300g),300,380,6.5,70,8.5,2.5,520,6,medium
Jasmine rice bowl,Rice & noodle dishes,succeeded,,1 bowl (~200g cooked),200,260,4.8,57,0.6,0.8,5,0.1,high
Sticky rice,Rice & noodle dishes,succeeded,,1 serve (~300g),300,480,10.5,75,15,2,780,3,medium
Nasi lemak,Rice & noodle dishes,succeeded,,1 serve (~400g),400,620,18,68,32,3.5,950,6,medium
Mee goreng,Rice & noodle dishes,succeeded,,1 serve (~400g),400,560,18,68,24,4.5,1450,8,medium
Kway teow soup,Rice & noodle dishes,succeeded,,1 bowl (~500g),500,380,20,50,10,3,1400,4,medium
Bihun goreng,Rice & noodle dishes,succeeded,,1 serve (~350g),350,430,15,55,16,3.5,980,6,medium
Claypot chicken rice,Rice & noodle dishes,succeeded,,1 serve (~500g),500,650,32,85,18,2.5,1400,5,medium
Hainanese chicken rice,Rice & noodle dishes,succeeded,,1 serve (~450g),450,650,32,75,24,2.5,1200,4,medium
Yangzhou fried rice,Rice & noodle dishes,succeeded,,1 serve (~350g),350,560,18.5,68,22,2.5,980,3.5,medium
Bibimbap rice bowl,Rice & noodle dishes,succeeded,,1 bowl (~550g),550,620,24,82,20,6.5,980,8,medium
Risotto rice dish,Rice & noodle dishes,succeeded,,1 serve (~350g),350,480,14,60,19,2.5,780,3.5,medium
Tofu stir fry,Vegetarian/vegan composite dishes,succeeded,,1 serve (~350g),350,320,15,22,19,5,780,8,medium
Chickpea curry vegan,Vegetarian/vegan composite dishes,succeeded,,1 serve (~350g),350,320,10.5,34,16,9,620,7,medium
Vegan bolognese,Vegetarian/vegan composite dishes,succeeded,,1 serve (~400g),400,420,16.5,60,12,9,680,11,medium
Vegan lasagne,Vegetarian/vegan composite dishes,succeeded,,1 serve (~400g),400,460,15,50,22,8,720,10,medium
Vegan pad thai,Vegetarian/vegan composite dishes,succeeded,,1 serve (~400g),400,520,14,78,17,5,980,16,medium
Vegan butter chicken,Vegetarian/vegan composite dishes,succeeded,,"1 serve (~350g, with sauce and tofu/protein, no rice)",350,380,14,22,26,5,780,10,medium
Vegan mac and cheese,Vegetarian/vegan composite dishes,succeeded,,1 serve (~350g),350,480,13,55,23,4.5,780,6,medium
Vegan nachos,Vegetarian/vegan composite dishes,succeeded,,1 serve (~400g),400,620,15,70,32,12,980,8,medium
Vegan burrito bowl,Vegetarian/vegan composite dishes,succeeded,,1 bowl (~500g),500,620,18.5,85,22,15,950,9,medium
Vegan chilli,Vegetarian/vegan composite dishes,succeeded,,1 serve (~350g),350,320,15,42,9,13,680,9,medium
Vegan curry,Vegetarian/vegan composite dishes,succeeded,,1 serve (~400g),400,380,9.5,42,19,8,720,10,medium
Lentil shepherd's pie,Vegetarian/vegan composite dishes,succeeded,,1 serve (~400g),400,420,16,52,15,11,620,8,medium
Vegan shepherd's pie,Vegetarian/vegan composite dishes,succeeded,,1 serve (~350g),350,380,12.5,48,15,9,620,8,medium
Vegan meatballs,Vegetarian/vegan composite dishes,succeeded,,"1 serve (~6 meatballs, 150g)",150,280,16,22,14,6,620,3,medium
Falafel bowl vegan,Vegetarian/vegan composite dishes,succeeded,,1 bowl (~450g),450,560,16.5,62,28,12,780,8.5,medium
Vegan katsu curry,Vegetarian/vegan composite dishes,succeeded,,"1 serve (~450g, with rice)",450,620,14,92,20,6.5,950,12,medium
Tempeh stir fry,Vegetarian/vegan composite dishes,succeeded,,1 serve (~300g),300,340,18.5,24,19,6,680,8,medium
Vegan poke bowl,Vegetarian/vegan composite dishes,succeeded,,1 bowl (~500g),500,560,16,78,20,10,950,12,medium
Vegan sushi rolls,Vegetarian/vegan composite dishes,succeeded,,"1 serve, ~8 pieces (~250g)",250,340,6.5,68,5,5.5,620,8,medium
Vegan pho,Vegetarian/vegan composite dishes,succeeded,,1 bowl (~550g),550,380,12.5,65,8,5.5,1450,8,medium
Vegan ramen,Vegetarian/vegan composite dishes,succeeded,,1 bowl (~600g),600,480,16,70,14,6,1600,8,medium
Vegan biryani,Vegetarian/vegan composite dishes,succeeded,,1 serve (~400g),400,480,10.5,78,15,7,780,8,medium
Vegan dal,Vegetarian/vegan composite dishes,succeeded,,1 serve (~300g),300,260,12.5,35,8,8.5,520,4.5,medium
Vegan korma,Vegetarian/vegan composite dishes,succeeded,,1 serve (~350g),350,320,6.5,28,21,6,520,9,medium
Jackfruit tacos,Vegetarian/vegan composite dishes,succeeded,,3 tacos (~330g),330,480,12.5,68,17,9.5,780,8.5,medium
Vegan pulled pork,Vegetarian/vegan composite dishes,succeeded,LOW_CONFIDENCE,1 serve (~200g),200,260,8,30,11,5,620,14,low
Vegan burger with the lot,Vegetarian/vegan composite dishes,succeeded,LOW_CONFIDENCE,1 burger (~450g),450,780,22,82,40,10,1250,15,low
Vegan schnitzel,Vegetarian/vegan composite dishes,succeeded,,1 schnitzel (~150g),150,320,18,28,15,4,620,2,medium
Vegan carbonara,Vegetarian/vegan composite dishes,succeeded,LOW_CONFIDENCE,1 serve (~400g),400,560,16.5,68,24,6.5,780,5.5,low
Vegan gnocchi,Vegetarian/vegan composite dishes,succeeded,,1 serve (~350g),350,420,9.5,62,14,5.5,620,6,medium
Vegan risotto,Vegetarian/vegan composite dishes,succeeded,,1 serve (~400g),400,480,10.5,68,16,6.5,780,5.5,medium
Vegan stir fry noodles,Vegetarian/vegan composite dishes,succeeded,,1 serve (~400g),400,480,12,68,16,6,980,9,medium
Tofu pad thai,Vegetarian/vegan composite dishes,succeeded,,1 serve (~400g),400,560,18,72,22,4.5,1100,16,medium
Cauliflower buffalo wings,Vegetarian/vegan composite dishes,succeeded,,1 serve (~250g),250,380,8.5,45,19,5.5,950,8,medium
Vegan spring rolls,Vegetarian/vegan composite dishes,succeeded,,4 rolls (~180g),180,320,6.5,38,16,3.5,480,4,medium
Vegan dumplings,Vegetarian/vegan composite dishes,succeeded,,"1 serve (~6 dumplings, 180g)",180,300,8,45,9,3.5,620,3,medium
Vegan sausage roll,Vegetarian/vegan composite dishes,succeeded,,1 roll (~120g),120,330,7.5,30,21,3.5,480,3,medium
Vegan pie,Vegetarian/vegan composite dishes,succeeded,,1 pie (~200g),200,480,12,48,27,6,700,5,medium
Stuffed capsicum vegan,Vegetarian/vegan composite dishes,succeeded,,2 stuffed capsicum halves (~400g),400,320,9.5,48,10.5,8.5,520,10,medium
Vegan moussaka,Vegetarian/vegan composite dishes,succeeded,,1 serve (~400g),400,380,11,34,22,9,620,12,medium
Vegan paella,Vegetarian/vegan composite dishes,succeeded,,1 serve (~400g),400,420,9.5,68,12,7.5,620,6.5,medium
Vegan chow mein,Vegetarian/vegan composite dishes,succeeded,,1 serve (~400g),400,480,14,68,16,6.5,1200,8,medium
Vegan fried rice,Vegetarian/vegan composite dishes,succeeded,,1 serve (~350g),350,480,10.5,72,15,4.5,780,4,medium
Pavlova,"Desserts, cakes & sweets",succeeded,,1 slice (~120g),120,280,3.2,42,12,1,60,40,medium
Lamington cake,"Desserts, cakes & sweets",succeeded,,1 piece (~70g),70,280,3.5,40,12,1.5,160,28,high
Cheesecake,"Desserts, cakes & sweets",succeeded,,1 slice (~120g),120,400,6.5,32,27,0.5,280,24,medium
New York cheesecake,"Desserts, cakes & sweets",succeeded,,1 slice (~120g),120,400,6.5,32,27,0.5,320,24,medium
Chocolate cake,"Desserts, cakes & sweets",succeeded,,1 slice (~100g),100,380,5,50,19,2,320,38,medium
Carrot cake,"Desserts, cakes & sweets",succeeded,,1 slice (~100g),100,380,4.5,45,21,1.5,300,32,medium
Red velvet cake,"Desserts, cakes & sweets",succeeded,,1 slice (~100g),100,390,4.5,50,20,0.8,320,38,medium
Sticky date pudding,"Desserts, cakes & sweets",succeeded,,1 serve (~150g),150,490,4.5,70,21,2.5,320,55,medium
Chocolate mud cake,"Desserts, cakes & sweets",succeeded,,1 slice (~100g),100,400,4.5,48,22,1.8,220,38,medium
Banoffee pie,"Desserts, cakes & sweets",succeeded,,1 slice (~120g),120,420,5,45,25,1.5,220,35,medium
Apple pie,"Desserts, cakes & sweets",succeeded,,1 slice (~125g),125,320,2.8,45,15,2.2,220,22,medium
Apple crumble,"Desserts, cakes & sweets",succeeded,,1 serve (~150g),150,320,3.2,48,13.5,3,120,30,medium
Sticky toffee pudding,"Desserts, cakes & sweets",succeeded,,1 serve (~150g) with toffee sauce,150,480,4.5,68,21,1.8,320,52,medium
Creme brulee,"Desserts, cakes & sweets",succeeded,,1 ramekin (~120g),120,330,5,22,25,0,60,21,high
Panna cotta dessert,"Desserts, cakes & sweets",succeeded,,1 serve (~120g),120,280,4,22,20,0,45,20,medium
Tiramisu cup,"Desserts, cakes & sweets",succeeded,,1 cup (~120g),120,320,5,28,21,0.5,60,22,medium
Brownie,"Desserts, cakes & sweets",succeeded,,1 piece (~60g),60,260,3.2,32,13.5,1.5,150,24,medium
Chocolate brownie,"Desserts, cakes & sweets",succeeded,,1 piece (~70g),70,300,3.8,36,16,1.8,180,27,medium
Blondie,"Desserts, cakes & sweets",succeeded,,1 square (~60g),60,260,2.8,33,13.5,0.6,140,24,medium
Mud cake slice,"Desserts, cakes & sweets",succeeded,,1 slice (~90g),90,380,4.5,42,22,1.5,220,33,medium
Cupcake,"Desserts, cakes & sweets",succeeded,,1 cupcake (~65g),65,240,2.8,34,10.5,0.6,190,24,medium
Vanilla cupcake,"Desserts, cakes & sweets",succeeded,,1 cupcake with frosting (~70g),70,260,3,34,13,0.5,190,24,medium
Chocolate cupcake,"Desserts, cakes & sweets",succeeded,,1 cupcake (~75g),75,290,3.5,38,14,1.5,220,27,medium
Donut dessert,"Desserts, cakes & sweets",succeeded,,1 donut (~60g),60,240,3.5,30,12,1,210,14,medium
Churros dessert,"Desserts, cakes & sweets",succeeded,,"1 serve (~150g, 5-6 churros with sauce)",150,520,6.5,62,27,2.5,380,30,medium
Baklava dessert,"Desserts, cakes & sweets",succeeded,,1 piece (~60g),60,250,3.8,27,15,1.2,110,18,medium
Gulab jamun dessert,"Desserts, cakes & sweets",succeeded,,2 pieces (~90g),90,300,4.5,45,12,0.3,90,38,medium
Mango sticky rice dessert,"Desserts, cakes & sweets",succeeded,,1 serve (~300g),300,420,6,72,13,3.5,90,32,medium
Ice cream sundae,"Desserts, cakes & sweets",succeeded,,1 sundae (~300g),300,430,6.5,55,21,1,140,45,medium
Chocolate mousse,"Desserts, cakes & sweets",succeeded,,1 serve (~120g),120,280,4.5,22,20,1.5,55,19,medium
Lemon meringue pie,"Desserts, cakes & sweets",succeeded,,1 slice (~120g),120,340,4.2,51,13.5,0.8,190,37,medium
Fruit tart,"Desserts, cakes & sweets",succeeded,,1 individual tart (~110g),110,280,4,34,14,1.5,130,20,medium
Custard tart dessert,"Desserts, cakes & sweets",succeeded,,1 tart (~100g),100,290,5.5,33,15,1,170,16,medium
Eclair,"Desserts, cakes & sweets",succeeded,,1 eclair (~80g),80,260,4.5,24,16.5,0.8,150,15,medium
Profiteroles,"Desserts, cakes & sweets",succeeded,,3 pieces (~150g),150,420,6.5,32,29,1,160,20,medium
Macarons,"Desserts, cakes & sweets",succeeded,,2 macarons (~30g),30,130,1.8,17,6.5,0.5,20,15.5,medium
French macaron,"Desserts, cakes & sweets",succeeded,,1 macaron (~25g),25,95,1.5,13.5,4.5,0.4,20,12,high
Cannoli,"Desserts, cakes & sweets",succeeded,,1 cannoli (~90g),90,290,6.5,30,16,1,120,18,medium
Gelato scoop,"Desserts, cakes & sweets",succeeded,,1 scoop (~75g),75,130,2.3,18,5.6,0.2,35,16,medium
Sorbet,"Desserts, cakes & sweets",succeeded,,2 scoops (~120g),120,150,0.5,37,0.1,0.5,10,33,medium
Affogato,"Desserts, cakes & sweets",succeeded,,1 serve (~90g),90,160,3,15,9,0.2,45,14,medium
Tim tam,"Desserts, cakes & sweets",succeeded,,2 biscuits (~18g each),36,190,2,22.5,10,1,45,16.5,high
Anzac biscuits dessert,"Desserts, cakes & sweets",succeeded,,2 biscuits (~60g),60,280,3.2,36,13.5,1.8,140,20,high
Chocolate chip cookie,"Desserts, cakes & sweets",succeeded,,1 medium cookie (~40g),40,195,2.2,26,9.5,0.9,130,15.5,medium
Shortbread,"Desserts, cakes & sweets",succeeded,,2 biscuits (~24g),24,122,1.3,14.5,6.5,0.4,65,4.5,high
Scones with jam and cream dessert,"Desserts, cakes & sweets",succeeded,,2 scones with jam and cream (~180g),180,480,7.5,62,22,1.5,480,28,medium
Bread and butter pudding,"Desserts, cakes & sweets",succeeded,,1 serve (~200g),200,380,9.5,42,19,1.5,320,28,medium
Rice pudding,"Desserts, cakes & sweets",succeeded,,1 serve (~200g),200,260,7,42,7,0.6,90,22,medium
Trifle,"Desserts, cakes & sweets",succeeded,,1 serve (~200g),200,320,5.5,42,14,1.5,150,32,medium
Pecan pie,"Desserts, cakes & sweets",succeeded,,"1 slice (1/8 of 9-inch pie, ~113g)",113,456,5.3,60.9,23.9,2.5,264,37,medium
Key lime pie,"Desserts, cakes & sweets",succeeded,,1 slice (~125g),125,380,6,48,19,1,260,36,medium
Black forest cake,"Desserts, cakes & sweets",succeeded,,1 slice (~120g),120,380,5,42,21,1.5,220,32,medium
Opera cake,"Desserts, cakes & sweets",succeeded,,1 slice (~90g),90,350,5,33,22,1,90,26,medium
Battenberg cake,"Desserts, cakes & sweets",succeeded,,1 slice (~70g),70,280,3.5,42,11.5,0.8,150,30,high
Victoria sponge cake,"Desserts, cakes & sweets",succeeded,,1 slice (~90g),90,320,4.2,40,16.5,0.7,210,27,high
Angel food cake,"Desserts, cakes & sweets",succeeded,,1 slice (~60g),60,172,3.8,39,0.2,0.2,210,26,medium
Rocky road,"Desserts, cakes & sweets",succeeded,,1 piece (~50g),50,220,2.8,24,12.5,1,55,20,medium
Fudge,"Desserts, cakes & sweets",succeeded,,1 piece (~30g),30,130,0.7,22,4.8,0.2,45,21,medium
Peppermint slice,"Desserts, cakes & sweets",succeeded,,1 piece (~60g),60,280,2.2,30.5,17,1,90,26,medium
Caramel slice,"Desserts, cakes & sweets",succeeded,,1 piece (~70g),70,330,3.5,34,21,1,140,25,medium
Chocolate crackle,"Desserts, cakes & sweets",succeeded,,1 piece (~25g),25,125,1,14,7.5,1,45,9.5,high
Fairy bread dessert,"Desserts, cakes & sweets",succeeded,,4 triangles (~2 slices of bread),90,260,4.5,42,9,1.5,300,18,medium
Jelly and ice cream,"Desserts, cakes & sweets",succeeded,,1 serve (~180g),180,220,3.2,38,6.5,0,60,32,medium
Pavlova with berries,"Desserts, cakes & sweets",succeeded,,1 slice (~120g),120,290,3.5,45,11.5,1.5,60,43,medium
Party pies,"Snacks, dips & party food",succeeded,,3 mini pies (~120g),120,340,9.5,27,21,1.5,560,2.5,high
Mini sausage rolls,"Snacks, dips & party food",succeeded,,4 mini rolls (~120g),120,370,9,26,25,1.5,560,2.5,medium
Spring rolls party size,"Snacks, dips & party food",succeeded,,1 mini spring roll (~25g),25,65,1.6,6.5,3.8,0.7,110,0.8,medium
Arancini balls,"Snacks, dips & party food",succeeded,,5 balls (~150g),150,330,10.5,38,15,2.5,620,2,medium
Nachos platter,"Snacks, dips & party food",succeeded,LOW_CONFIDENCE,1 sharing platter (~500g),500,950,35,80,55,8,1600,8,low
Cheese platter,"Snacks, dips & party food",succeeded,LOW_CONFIDENCE,1 serve (~150g),150,480,24,18,35,1.5,780,8,low
Antipasto platter Aus,"Snacks, dips & party food",succeeded,LOW_CONFIDENCE,1 serve (~200g),200,480,22,12,37,2.5,1400,4,low
Chips and dip,"Snacks, dips & party food",succeeded,,1 serve (~100g chips + 40g dip),140,580,6.5,52,38,4.5,620,3.5,medium
Corn chips with salsa,"Snacks, dips & party food",succeeded,,"1 serve (~100g chips, ~50g salsa)",150,490,6.5,58,26,4.5,520,4,medium
Sour cream and chive dip,"Snacks, dips & party food",succeeded,,2 tbsp (~40g),40,110,1.3,3,10.2,0.1,180,1.8,medium
French onion dip,"Snacks, dips & party food",succeeded,,2 tbsp (~30g),30,75,1.2,3,6.8,0.2,210,2,medium
Spinach and cheese dip,"Snacks, dips & party food",succeeded,,"1 serve (~1/2 cup, ~120g)",120,240,7.5,7,20.5,1.5,430,2.5,medium
Hummus dip,"Snacks, dips & party food",succeeded,,"1 serve (~60g, with dipping)",60,180,5.4,10.2,13.8,3.6,300,0.6,medium
Guacamole dip,"Snacks, dips & party food",succeeded,,1 serve (~60g),60,96,1.2,4.5,8.6,3.5,150,1,medium
Vegetable sticks with dip,"Snacks, dips & party food",succeeded,,1 serve (~150g),150,180,3,12,13,3.5,320,6,medium
Cheese and crackers,"Snacks, dips & party food",succeeded,,"1 serve (~60g, cheese + 4-5 crackers)",60,260,9.5,18,17,1,480,1,medium
Chicken wings party,"Snacks, dips & party food",succeeded,,"1 serve (6 wings, ~250g)",250,620,38,12,46,0.5,900,6,medium
Mini quiches,"Snacks, dips & party food",succeeded,,4 mini quiches (~120g),120,340,9.5,20,24,1.2,480,3,medium
Sausage rolls party,"Snacks, dips & party food",succeeded,,3 mini sausage rolls (~90g),90,280,7,19,19.5,1.2,480,2,medium
Party sandwiches,"Snacks, dips & party food",succeeded,,3 small triangle sandwiches (~90g),90,210,7,24,9,1.5,380,3,medium
Cocktail meatballs,"Snacks, dips & party food",succeeded,,6 meatballs (~180g),180,380,16,28,22,1,780,18,medium
Vol au vents,"Snacks, dips & party food",succeeded,,3 pieces (~150g),150,380,10.5,22,27,1.2,480,2.5,medium
Mini spring rolls,"Snacks, dips & party food",succeeded,,6 pieces (~180g),180,400,8,40,22,3,620,3,medium
Prawn twisters party,"Snacks, dips & party food",succeeded,,"1 party serve (~6 pieces, 180g)",180,470,14,40,28,2,640,3,medium
Dim sim party platter,"Snacks, dips & party food",succeeded,,6 dim sims (~360g),360,720,24,66,39,4.2,1450,4.8,medium
Popcorn,"Snacks, dips & party food",succeeded,,1 medium cup/bag (~30g),30,150,2.2,16,9,2.5,220,0.3,medium
Pretzels,"Snacks, dips & party food",succeeded,,1 pretzel (~90g),90,270,7,54,2.5,2,640,3,medium
Potato chips,"Snacks, dips & party food",succeeded,,1 regular serve (~150g),150,430,5.5,52,22,4.5,380,0.5,medium
Cheese twists,"Snacks, dips & party food",succeeded,,3 twists (~60g),60,250,6,20,16,0.8,380,1,medium
Cheerios biscuits,"Snacks, dips & party food",succeeded,,3 biscuits (~45g),45,210,2.3,24,12,1.2,110,13,medium
Rice crackers,"Snacks, dips & party food",succeeded,,"1 serve (~30g, ~10 crackers)",30,120,1.8,26,0.6,0.6,220,0.3,medium
Chicken satay skewers party,"Snacks, dips & party food",succeeded,,4 skewers (~140g) with satay sauce,140,280,22,9,18,1.5,480,5,medium
Bruschetta party,"Snacks, dips & party food",succeeded,,3 pieces (~120g),120,220,5.5,24,11,2,380,3,medium
Deviled eggs,"Snacks, dips & party food",succeeded,,2 halves (~60g),60,125,6,1,11,0.1,190,0.5,high
Sausage sizzle,"Snacks, dips & party food",succeeded,,"1 serve (sausage, bread, onion, sauce)",130,330,11.5,28,19.5,1.8,760,7,medium
BBQ sausage on bread,"Snacks, dips & party food",succeeded,,1 sausage on bread slice (~110g),110,300,11,24,18,1.5,700,6,medium
Sausage sizzle with onions,"Snacks, dips & party food",succeeded,,1 sausage on bread with onions (~130g),130,330,12,28,19,1.8,780,6,medium
Mini pizzas,"Snacks, dips & party food",succeeded,,4 mini pizzas (~200g),200,520,20,52,26,3,980,6,medium
Cheese cubes,"Snacks, dips & party food",succeeded,,1 serve (~80g),80,296,19.7,1.6,23.8,0,560,0.4,medium
Pigs in blankets,"Snacks, dips & party food",succeeded,,6 pieces (~120g),120,340,13,14,25,0.8,780,3.5,medium
Cheese balls,"Snacks, dips & party food",succeeded,,"1 serve (~6 pieces, 150g)",150,430,12,32,28,1.5,560,2.5,medium
Spinach and ricotta triangles,"Snacks, dips & party food",succeeded,,4 pieces (~160g),160,380,13,32,22,2.5,520,2.5,medium
Samosas party platter,"Snacks, dips & party food",succeeded,,1 samosa (~50g),50,130,2.8,14.5,7,1.5,190,1,medium
Vegetable spring rolls party,"Snacks, dips & party food",succeeded,,3 mini spring rolls (~90g),90,210,3.8,24,11,2,320,2.5,medium
Cocktail franks,"Snacks, dips & party food",succeeded,,6 pieces (~90g),90,270,10.5,5,23,0.3,750,2,medium
Chips and gravy party,"Snacks, dips & party food",succeeded,,1 serve (~350g),350,620,8.5,68,34,5.5,980,3,medium
Chicken nuggets kids,Café/pub food & kids'/lunchbox items,succeeded,,"1 kids serve (6 nuggets, ~100g)",100,260,13.5,17,15.5,1.2,480,1,medium
Fairy bread,Café/pub food & kids'/lunchbox items,succeeded,,4 triangles (~2 slices bread),70,220,4,34,8,1.3,220,14,medium
Vegemite sandwich,Café/pub food & kids'/lunchbox items,succeeded,,"1 sandwich, 2 slices bread (~70g)",80,210,7.5,30,6.5,2.5,780,2.5,high
Ham and cheese toastie kids,Café/pub food & kids'/lunchbox items,succeeded,,1 kids toastie (~120g),120,320,15,32,15,1.8,780,4,medium
Fish fingers,Café/pub food & kids'/lunchbox items,succeeded,,5 pieces (~150g),150,300,15,27,15,1.5,480,1.5,high
Fish finger sandwich,Café/pub food & kids'/lunchbox items,succeeded,,1 sandwich (~220g),220,480,20,48,23,3,850,6,medium
Cheese toastie,Café/pub food & kids'/lunchbox items,succeeded,,1 toastie (2 slices bread),150,420,18,38,22,2,780,4,high
Mac and cheese kids,Café/pub food & kids'/lunchbox items,succeeded,,1 kids serve (~200g),200,320,12,34,15,1.5,560,4,medium
Spaghetti on toast,Café/pub food & kids'/lunchbox items,succeeded,,"1 serve (2 slices toast + 1 can spaghetti, ~350g)",350,430,13.5,72,9,5.5,1150,15,medium
Baked beans kids,Café/pub food & kids'/lunchbox items,succeeded,,1 kids serve (~130g),130,100,5.5,16.5,0.5,4.5,480,7.5,medium
Chicken schnitzel kids meal,Café/pub food & kids'/lunchbox items,succeeded,,"1 serve (~250g, schnitzel + chips)",250,520,22,48,27,3.5,620,2,medium
Sausages and mash,Café/pub food & kids'/lunchbox items,succeeded,,"1 serve (~400g, 3 sausages + mash + gravy)",400,680,26,38,44,4,1400,6,medium
Mini pizzas kids,Café/pub food & kids'/lunchbox items,succeeded,,3 mini pizzas (~150g),150,380,15,42,17,2.5,650,5,medium
Chicken drumsticks,Café/pub food & kids'/lunchbox items,succeeded,,2 drumsticks (~180g),180,370,38,2,23,0,380,1,medium
Sausage sizzle kids,Café/pub food & kids'/lunchbox items,succeeded,,1 small sausage on bread with onion (~90g),90,220,7.5,20,12,1.5,480,4.5,medium
Party pies kids,Café/pub food & kids'/lunchbox items,succeeded,,3 mini pies (~120g),120,330,9.5,28,20,1.5,480,2.5,medium
Cheerios kids snack,Café/pub food & kids'/lunchbox items,succeeded,,1 bowl (~30g),30,113,2.6,23,1.5,2.7,190,3,medium
Cheese and crackers kids,Café/pub food & kids'/lunchbox items,succeeded,,1 kids serve (~60g),60,260,8.5,22,15.5,1,400,1.5,medium
Toasted sandwich,Café/pub food & kids'/lunchbox items,succeeded,,1 sandwich (2 slices bread),150,380,18,38,17,2.5,780,5,medium
Pub parma,Café/pub food & kids'/lunchbox items,succeeded,,1 serve (~550g),550,1150,55,90,62,6,1600,10,medium
Pub schnitzel,Café/pub food & kids'/lunchbox items,succeeded,,1 serve (~500g),500,1150,48,90,65,6,1400,8,medium
Chicken parmigiana pub,Café/pub food & kids'/lunchbox items,succeeded,,1 serve (~550g),550,1150,58,85,62,6,1650,12,medium
Steak and chips pub,Café/pub food & kids'/lunchbox items,succeeded,,"1 serve (~450g, steak + chips + salad/veg)",450,850,48,55,47,5,900,4,medium
Fish and chips pub,Café/pub food & kids'/lunchbox items,succeeded,,"1 serve (~450g, 1 piece battered fish + chips)",450,1050,35,90,62,7,1100,2,medium
Pub burger,Café/pub food & kids'/lunchbox items,succeeded,,1 serve (~500g burger + chips),500,1150,45,95,65,6,1600,15,medium
Pub nachos,Café/pub food & kids'/lunchbox items,succeeded,LOW_CONFIDENCE,1 share serve (~450g),450,1150,42,90,68,8,1900,8,low
Pub salt and pepper squid,Café/pub food & kids'/lunchbox items,succeeded,,1 pub entrée serve (~300g incl. salad/lemon),300,620,32,40,36,2.5,980,3,medium
Pub calamari,Café/pub food & kids'/lunchbox items,succeeded,,1 serve (~300g),300,720,32,55,40,3,980,3,medium
Chicken wings pub,Café/pub food & kids'/lunchbox items,succeeded,,"1 serve (~8 wings, ~350g)",350,850,55,20,60,1,1600,8,medium
Pub caesar salad,Café/pub food & kids'/lunchbox items,succeeded,,1 serve (~350g),350,620,22,24,46,3.5,1150,4,medium
Beer battered fish,Café/pub food & kids'/lunchbox items,succeeded,,"1 serve (~250g fish, with batter)",250,620,34,45,34,2,720,2,medium
Pub steak sandwich,Café/pub food & kids'/lunchbox items,succeeded,,1 serve (~400g),400,850,42,62,46,4,1450,12,medium
Loaded potato skins,Café/pub food & kids'/lunchbox items,succeeded,,"1 serve (4 skins, ~300g)",300,620,24,40,40,4,980,3,medium
Pub garlic bread,Café/pub food & kids'/lunchbox items,succeeded,,"1 serve (~4-5 slices, ~150g)",150,480,10.5,48,27,2.5,780,3.5,medium
Chicken caesar wrap pub,Café/pub food & kids'/lunchbox items,succeeded,,1 wrap (~350g),350,720,34,55,40,4,1250,5,medium
Ploughman's lunch pub,Café/pub food & kids'/lunchbox items,succeeded,,1 serve (~400g),400,780,32,55,46,5,1900,12,medium
